Schulnummer;Kurzbezeichnung;Bezirksregierung;Kreis;Gemeinde;Sozialindexstufe
129549;Dortmund, GG Eichlinghofer;BR Arnsberg;Stadt Dortmund;Dortmund;2
129550;Dortmund, GG Westholzschule;BR Arnsberg;Stadt Dortmund;Dortmund;4
129562;Dortmund, GG Ostenbergschule;BR Arnsberg;Stadt Dortmund;Dortmund;2
129574;Dortmund, GG Albrecht-Brinkmann-Schule;BR Arnsberg;Stadt Dortmund;Dortmund;9
129586;Dortmund, GG Eichwaldschule;BR Arnsberg;Stadt Dortmund;Dortmund;2
129598;Dortmund, GG Gilden;BR Arnsberg;Stadt Dortmund;Dortmund;8
129616;Dortmund, GG Bach;BR Arnsberg;Stadt Dortmund;Dortmund;7
129628;Dortmund, GG Grafenschule;BR Arnsberg;Stadt Dortmund;Dortmund;5
129630;Dortmund, GG Stiftschule;BR Arnsberg;Stadt Dortmund;Dortmund;8
129641;Dortmund, GG Libellen-Grundschule;BR Arnsberg;Stadt Dortmund;Dortmund;9
129653;Dortmund, GG (Verb.) Harkortschule;BR Arnsberg;Stadt Dortmund;Dortmund;5
129665;Dortmund, GG Comenius;BR Arnsberg;Stadt Dortmund;Dortmund;5
129677;Dortmund, GG Westricher Schule;BR Arnsberg;Stadt Dortmund;Dortmund;5
129689;Dortmund, GG Hansa;BR Arnsberg;Stadt Dortmund;Dortmund;6
129690;Dortmund, GG Hangeneyschule;BR Arnsberg;Stadt Dortmund;Dortmund;3
129707;Dortmund, GG Kirchhîrderschule;BR Arnsberg;Stadt Dortmund;Dortmund;2
129719;Dortmund, GG Bruktererschule;BR Arnsberg;Stadt Dortmund;Dortmund;5
129720;Dortmund, GG Brechtener;BR Arnsberg;Stadt Dortmund;Dortmund;2
129732;Dortmund, GG Wichlinghoferschule;BR Arnsberg;Stadt Dortmund;Dortmund;1
129744;Dortmund, GG Weingartenschule am See;BR Arnsberg;Stadt Dortmund;Dortmund;4
129756;Dortmund, GG Siegfried-Drupp;BR Arnsberg;Stadt Dortmund;Dortmund;6
129768;Dortmund, GG Uhlandschule;BR Arnsberg;Stadt Dortmund;Dortmund;6
129770;Dortmund, GG Fichteschule;BR Arnsberg;Stadt Dortmund;Dortmund;4
129781;Dortmund, EG Liebigschule;BR Arnsberg;Stadt Dortmund;Dortmund;2
129793;Dortmund, GG Dietrich-Bonhoeffer-Schule;BR Arnsberg;Stadt Dortmund;Dortmund;6
129800;Dortmund, GG Mîrike;BR Arnsberg;Stadt Dortmund;Dortmund;3
129811;Dortmund, GG Westhausen;BR Arnsberg;Stadt Dortmund;Dortmund;8
129823;Dortmund, GG Berghofer-Grundschule;BR Arnsberg;Stadt Dortmund;Dortmund;3
129835;Dortmund, GG Kerschensteinerschule;BR Arnsberg;Stadt Dortmund;Dortmund;3
129847;Dortmund, GG Schubertschule;BR Arnsberg;Stadt Dortmund;Dortmund;5
129859;Dortmund, GG Emschertalschule;BR Arnsberg;Stadt Dortmund;Dortmund;5
129860;Dortmund, GG Jungferntalschule;BR Arnsberg;Stadt Dortmund;Dortmund;6
129884;Dortmund, GG Diesterwegschule;BR Arnsberg;Stadt Dortmund;Dortmund;9
129896;Dortmund, GG Schopenhauerschule;BR Arnsberg;Stadt Dortmund;Dortmund;7
129902;Dortmund, GG Aplerbecker-Mark-Schule;BR Arnsberg;Stadt Dortmund;Dortmund;2
129914;Dortmund, GG Berswordt-Europa;BR Arnsberg;Stadt Dortmund;Dortmund;6
129926;Dortmund, GG Lieberfeldschule;BR Arnsberg;Stadt Dortmund;Dortmund;2
129938;Dortmund, GG Holte;BR Arnsberg;Stadt Dortmund;Dortmund;6
129940;Dortmund, GG Friedensschule;BR Arnsberg;Stadt Dortmund;Dortmund;7
129963;Dortmund, GG Steinbrinkschule;BR Arnsberg;Stadt Dortmund;Dortmund;4
129975;Dortmund, GG Lessingschule;BR Arnsberg;Stadt Dortmund;Dortmund;9
129987;Dortmund, GG Landgrafenschule;BR Arnsberg;Stadt Dortmund;Dortmund;4
129999;Dortmund, GG Kruckeler;BR Arnsberg;Stadt Dortmund;Dortmund;2
130000;Dortmund, GG Aplerbeckerschule;BR Arnsberg;Stadt Dortmund;Dortmund;3
130011;Dortmund, GG Hellweg;BR Arnsberg;Stadt Dortmund;Dortmund;3
130023;Dortmund, GG Gerhart-Hauptmann-Schule;BR Arnsberg;Stadt Dortmund;Dortmund;5
130035;Dortmund, GG Benninghofer Schule;BR Arnsberg;Stadt Dortmund;Dortmund;4
130059;Dortmund, GG Graf-Konrad-Schule;BR Arnsberg;Stadt Dortmund;Dortmund;8
130060;Dortmund, GG Regenbogen;BR Arnsberg;Stadt Dortmund;Dortmund;2
130072;Dortmund, GG Hoechstener Schule;BR Arnsberg;Stadt Dortmund;Dortmund;1
130096;Dortmund, GG Mosaik-Grundschule Eving;BR Arnsberg;Stadt Dortmund;Dortmund;9
130102;Dortmund, GG Olpketal;BR Arnsberg;Stadt Dortmund;Dortmund;1
130114;Dortmund, GG Oesterholzschule;BR Arnsberg;Stadt Dortmund;Dortmund;9
130126;Dortmund, GG Nordmarktschule;BR Arnsberg;Stadt Dortmund;Dortmund;9
130138;Dortmund, GG Friedrich-Ebert-Schule;BR Arnsberg;Stadt Dortmund;Dortmund;3
130140;Dortmund, GG Kirchderner Schule;BR Arnsberg;Stadt Dortmund;Dortmund;5
130151;Dortmund, GG Am Dorney;BR Arnsberg;Stadt Dortmund;Dortmund;4
130175;Hagen, KG Overbergschule;BR Arnsberg;Stadt Hagen;Hagen;2
130187;Hagen, KG Goethe;BR Arnsberg;Stadt Hagen;Hagen;3
130217;Hagen, KG Meinolfschule;BR Arnsberg;Stadt Hagen;Hagen;7
130229;Hagen, GG (Verb) Freiherr-vom-Stein;BR Arnsberg;Stadt Hagen;Hagen;7
130230;Hagen, GG Hermann-Lîns;BR Arnsberg;Stadt Hagen;Hagen;6
130242;Hagen, GG Friedrich-Harkort-Schule;BR Arnsberg;Stadt Hagen;Hagen;8
130254;Hagen, GG Vincke;BR Arnsberg;Stadt Hagen;Hagen;6
130278;Hagen, GG Hestert;BR Arnsberg;Stadt Hagen;Hagen;5
130291;Hagen, GG Astrid-Lindgren;BR Arnsberg;Stadt Hagen;Hagen;4
130308;Hagen, GG Emst;BR Arnsberg;Stadt Hagen;Hagen;2
130310;Hagen, GG (Verb.) Goldbergschule;BR Arnsberg;Stadt Hagen;Hagen;8
130321;Hagen, GG Emil-Schumacher-Schule;BR Arnsberg;Stadt Hagen;Hagen;9
130333;Hagen, GG Karl-Ernst-Osthaus-Schule;BR Arnsberg;Stadt Hagen;Hagen;3
130345;Hagen, GG Helfe;BR Arnsberg;Stadt Hagen;Hagen;5
130357;Hagen, GG Kuhlerkamp;BR Arnsberg;Stadt Hagen;Hagen;5
130369;Hagen, GG Kipperschule;BR Arnsberg;Stadt Hagen;Hagen;6
130370;Hagen, GG Funckeparkschule;BR Arnsberg;Stadt Hagen;Hagen;9
130382;Hagen, GG GebrÅder-Grimm-Schule;BR Arnsberg;Stadt Hagen;Hagen;8
130412;Hagen, GG Altenhagen;BR Arnsberg;Stadt Hagen;Hagen;9
130424;Hagen, GG Henry-van-de-Velde-Schule;BR Arnsberg;Stadt Hagen;Hagen;8
130436;Hagen, GG Janusz-Korczak;BR Arnsberg;Stadt Hagen;Hagen;9
130461;Hamm, GG Bodelschwinghschule;BR Arnsberg;Stadt Hamm;Hamm;6
130473;Hamm, GG Ludgerischule;BR Arnsberg;Stadt Hamm;Hamm;9
130485;Hamm, GG Johannes;BR Arnsberg;Stadt Hamm;Hamm;7
130497;Hamm, GG Wilhelm-Busch-Schule;BR Arnsberg;Stadt Hamm;Hamm;8
130503;Hamm, GG Geistschule;BR Arnsberg;Stadt Hamm;Hamm;5
130515;Hamm, GG Theodor-Heuss-Schule;BR Arnsberg;Stadt Hamm;Hamm;4
130527;Hamm, GG Matthias-Claudius;BR Arnsberg;Stadt Hamm;Hamm;9
130539;Hamm, GG Hermann-Gmeiner;BR Arnsberg;Stadt Hamm;Hamm;8
130540;Hamm, GG Ketteler;BR Arnsberg;Stadt Hamm;Hamm;3
130552;Hamm, GG Hellwegschule;BR Arnsberg;Stadt Hamm;Hamm;2
130564;Hamm, GG Dietrich-Bonhoeffer;BR Arnsberg;Stadt Hamm;Hamm;2
130576;Herne, KG an der Bergstra·e;BR Arnsberg;Stadt Herne;Herne;1
130588;Herne, GG an der Vellwigstra·e;BR Arnsberg;Stadt Herne;Herne;2
130618;Herne, GG an der Max-Wiethoff-Stra·e;BR Arnsberg;Stadt Herne;Herne;6
130643;Herne, GG am Schloss;BR Arnsberg;Stadt Herne;Herne;6
130679;Herne, GG an der Ohmstra·e;BR Arnsberg;Stadt Herne;Herne;8
130680;Herne, GG Pantrings Hof;BR Arnsberg;Stadt Herne;Herne;3
130722;Herne, GG Kunterbunt;BR Arnsberg;Stadt Herne;Herne;8
130734;Herne, GG an der Bîrsinghauser Stra·e;BR Arnsberg;Stadt Herne;Herne;3
130758;Iserlohn, GG Bîmberg;BR Arnsberg;MÑrkischen Kreis;Iserlohn;6
130760;Iserlohn, GG Lichte Kammer;BR Arnsberg;MÑrkischen Kreis;Iserlohn;7
130783;Iserlohn, GG (Verb.) Nu·berg;BR Arnsberg;MÑrkischen Kreis;Iserlohn;5
130795;Iserlohn, GG Im Wiesengrund;BR Arnsberg;MÑrkischen Kreis;Iserlohn;7
130813;Iserlohn, GG Burgschule;BR Arnsberg;MÑrkischen Kreis;Iserlohn;8
130825;Iserlohn, GG SÅdschule;BR Arnsberg;MÑrkischen Kreis;Iserlohn;8
130849;LÅnen, GG Wittekind;BR Arnsberg;Kreis Unna;LÅnen;9
130850;LÅnen, GG (Verb.) Osterfeld;BR Arnsberg;Kreis Unna;LÅnen;6
130862;LÅnen, GG (Verb.) Overbergschule;BR Arnsberg;Kreis Unna;LÅnen;7
130874;LÅnen, GG Viktoria;BR Arnsberg;Kreis Unna;LÅnen;9
130886;LÅnen, KG Elisabeth;BR Arnsberg;Kreis Unna;LÅnen;3
130898;LÅnen, KG Leo;BR Arnsberg;Kreis Unna;LÅnen;3
130904;LÅnen, GG Schule am LÅserbach;BR Arnsberg;Kreis Unna;LÅnen;2
130977;Herne, GG am Eickeler Park;BR Arnsberg;Stadt Herne;Herne;3
130989;Herne, GG Freiherr-vom-Stein-Schule;BR Arnsberg;Stadt Herne;Herne;8
130990;Herne, GG Sonnenschule;BR Arnsberg;Stadt Herne;Herne;4
131003;Herne, GG Horstschule;BR Arnsberg;Stadt Herne;Herne;4
131015;Herne, GG SÅdschule;BR Arnsberg;Stadt Herne;Herne;6
131027;Herne, GG Laurentiusschule;BR Arnsberg;Stadt Herne;Herne;6
131039;Herne, GG Claudiusschule;BR Arnsberg;Stadt Herne;Herne;6
131040;Herne, GG Michaelschule;BR Arnsberg;Stadt Herne;Herne;5
131052;Herne, GG Europaschule Kînigstra·e;BR Arnsberg;Stadt Herne;Herne;5
131064;Herne, GG Josefschule;BR Arnsberg;Stadt Herne;Herne;9
131088;Bochum, GG Kirchschule Hîntrop;BR Arnsberg;Stadt Bochum;Bochum;5
131090;Bochum, GG Westenfeld;BR Arnsberg;Stadt Bochum;Bochum;8
131120;Bochum, GG Regenbogen;BR Arnsberg;Stadt Bochum;Bochum;5
131131;Bochum, GG GÅnnigfeld;BR Arnsberg;Stadt Bochum;Bochum;6
131155;Bochum, GG GlÅckaufschule;BR Arnsberg;Stadt Bochum;Bochum;8
131167;Bochum, GG Leithe;BR Arnsberg;Stadt Bochum;Bochum;4
131179;Bochum, GG Dietrich-Bonhoeffer;BR Arnsberg;Stadt Bochum;Bochum;2
131209;Witten, GG Bruch;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;4
131210;Witten, GG Crengeldanzschule;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;6
131222;Witten, GG RÅdinghauser;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;2
131234;Witten, GG Dorfschule;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;3
131246;Witten, GG Hellwegschule;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;4
131260;Witten, GG HÅllbergschule;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;3
131271;Witten, GG Erlenschule;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;6
131283;Witten, GG Harkort;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;2
131295;Witten, GG Baedeker;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;6
131301;Witten, GG Borbach;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;1
131313;Witten, GG Gerichtsschule;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;9
131325;Witten, GG Bredde;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;8
131337;Witten, GG Brenschen;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;3
131350;Altena, GG Breitenhagen;BR Arnsberg;MÑrkischen Kreis;Altena;5
131404;Plettenberg, GG Holthausen;BR Arnsberg;MÑrkischen Kreis;Plettenberg;3
131430;Plettenberg, GG (Verb.) Hallenschule;BR Arnsberg;MÑrkischen Kreis;Plettenberg;5
131441;Plettenberg, GG Eschenschule;BR Arnsberg;MÑrkischen Kreis;Plettenberg;7
131453;Plettenberg, GG (Verb.) Martin-Luther;BR Arnsberg;MÑrkischen Kreis;Plettenberg;4
131477;Werdohl, GG (Verb.) Schulweg;BR Arnsberg;MÑrkischen Kreis;Werdohl;6
131507;Werdohl, KG St.Michael-Schule;BR Arnsberg;MÑrkischen Kreis;Werdohl;7
131519;Werdohl, EG Martin Luther;BR Arnsberg;MÑrkischen Kreis;Werdohl;7
131556;Nachrodt-Wiblingwerde,GG (Verb) Nachrodt;BR Arnsberg;MÑrkischen Kreis;Nachrodt-Wiblingwerde;3
131568;Halver, GG (Verb.) Regenbogenschule;BR Arnsberg;MÑrkischen Kreis;Halver;3
131581;Halver, GG Lindenhofschule;BR Arnsberg;MÑrkischen Kreis;Halver;2
131600;Kierspe, GG (Verb.) Bismarckschule;BR Arnsberg;MÑrkischen Kreis;Kierspe;1
131611;Kierspe, GG (Verb.) Pestalozzi;BR Arnsberg;MÑrkischen Kreis;Kierspe;3
131623;LÅdenscheid, GG Lîsenbach;BR Arnsberg;MÑrkischen Kreis;LÅdenscheid;3
131635;LÅdenscheid, GG Otfried-Preu·ler-Schule;BR Arnsberg;MÑrkischen Kreis;LÅdenscheid;4
131659;LÅdenscheid, GG Adolf-Kolping-Schule;BR Arnsberg;MÑrkischen Kreis;LÅdenscheid;6
131660;LÅdenscheid, GG Pestalozzi;BR Arnsberg;MÑrkischen Kreis;LÅdenscheid;7
131684;LÅdenscheid, GG Westschule;BR Arnsberg;MÑrkischen Kreis;LÅdenscheid;7
131702;LÅdenscheid, GG Knapper;BR Arnsberg;MÑrkischen Kreis;LÅdenscheid;8
131738;LÅdenscheid, GG Bierbaum;BR Arnsberg;MÑrkischen Kreis;LÅdenscheid;3
131751;LÅdenscheid, GG Wehberger;BR Arnsberg;MÑrkischen Kreis;LÅdenscheid;5
131775;Meinerzhagen, GG Auf der Wahr;BR Arnsberg;MÑrkischen Kreis;Meinerzhagen;5
131799;Meinerzhagen, GG Ebbeschule-Valbert;BR Arnsberg;MÑrkischen Kreis;Meinerzhagen;2
131817;Neuenrade, GG (Verb.) Burgschule;BR Arnsberg;MÑrkischen Kreis;Neuenrade;4
131842;SchalksmÅhle, GG Spormecke;BR Arnsberg;MÑrkischen Kreis;SchalksmÅhle;2
131854;Arnsberg, GG Norbertusschule;BR Arnsberg;Hochsauerlandkreis;Arnsberg;6
131866;Arnsberg, KG Kath. Johannesschule;BR Arnsberg;Hochsauerlandkreis;Arnsberg;4
131878;Arnsberg, GG (Verb.) Regenbogen;BR Arnsberg;Hochsauerlandkreis;Arnsberg;2
131880;Arnsberg, GG Adolf-Sauer-Schule;BR Arnsberg;Hochsauerlandkreis;Arnsberg;4
131891;Arnsberg, GG Moosfelde;BR Arnsberg;Hochsauerlandkreis;Arnsberg;7
131910;Arnsberg, GG Rîhr;BR Arnsberg;Hochsauerlandkreis;Arnsberg;5
131921;Arnsberg, GG MÅhlenberg;BR Arnsberg;Hochsauerlandkreis;Arnsberg;4
131933;Arnsberg, GG Graf-Gottfried-Schule;BR Arnsberg;Hochsauerlandkreis;Arnsberg;3
131945;Arnsberg, GG Rote Schule;BR Arnsberg;Hochsauerlandkreis;Arnsberg;6
131957;Arnsberg, KG St.Josef-Bergheim;BR Arnsberg;Hochsauerlandkreis;Arnsberg;2
131970;Balve, GG St. Johannes Balve;BR Arnsberg;MÑrkischen Kreis;Balve;3
131982;Balve, GG Beckum;BR Arnsberg;MÑrkischen Kreis;Balve;1
132007;Balve, KG Dreikînige;BR Arnsberg;MÑrkischen Kreis;Balve;1
132020;Meschede, KG (Verb.) St. Nikolaus-Schule;BR Arnsberg;Hochsauerlandkreis;Meschede;2
132044;Arnsberg, KG Dinschede;BR Arnsberg;Hochsauerlandkreis;Arnsberg;2
132068;Arnsberg, KG Rodentelgenschule;BR Arnsberg;Hochsauerlandkreis;Arnsberg;5
132081;Sundern, KG Hachen;BR Arnsberg;Hochsauerlandkreis;Sundern (Sauerland);3
132093;Arnsberg, KG (Verb) Kath Heinrich-Knoche;BR Arnsberg;Hochsauerlandkreis;Arnsberg;1
132135;Arnsberg, KG MÅschede;BR Arnsberg;Hochsauerlandkreis;Arnsberg;2
132160;Arnsberg, KG Urbanus;BR Arnsberg;Hochsauerlandkreis;Arnsberg;1
132172;Sundern, KG Allendorf;BR Arnsberg;Hochsauerlandkreis;Sundern (Sauerland);1
132202;Sundern, KG Sebastianschule;BR Arnsberg;Hochsauerlandkreis;Sundern (Sauerland);2
132214;Sundern, GG Johannes;BR Arnsberg;Hochsauerlandkreis;Sundern (Sauerland);3
132226;Sundern, GG Marienschule;BR Arnsberg;Hochsauerlandkreis;Sundern (Sauerland);2
132287;Warstein, KG (Verb.) Lioba-Schule;BR Arnsberg;Kreis Soest;Warstein;4
132299;Brilon, KG St.Engelbert-Schule;BR Arnsberg;Hochsauerlandkreis;Brilon;4
132317;Brilon, KG Ratmerstein;BR Arnsberg;Hochsauerlandkreis;Brilon;2
132342;Winterberg, KG Am Postteich;BR Arnsberg;Hochsauerlandkreis;Winterberg;4
132366;Medebach, GG (Verb.) Hanse;BR Arnsberg;Hochsauerlandkreis;Medebach;3
132408;Olsberg, KG Kardinal-von-Galen-Schule;BR Arnsberg;Hochsauerlandkreis;Olsberg;2
132410;Olsberg, KG St.Martinus-Schule;BR Arnsberg;Hochsauerlandkreis;Olsberg;3
132433;Olsberg, KG Franziskus;BR Arnsberg;Hochsauerlandkreis;Olsberg;1
132457;Winterberg, KG St.Josef;BR Arnsberg;Hochsauerlandkreis;Winterberg;3
132470;Hallenberg, KG Elbersbach;BR Arnsberg;Hochsauerlandkreis;Hallenberg;2
132524;Marsberg,GG Naturparkgrundschule Giersh.;BR Arnsberg;Hochsauerlandkreis;Marsberg;1
132550;Marsberg, GG Schule am Burghof;BR Arnsberg;Hochsauerlandkreis;Marsberg;4
132573;Winterberg, KG Niedersfeld;BR Arnsberg;Hochsauerlandkreis;Winterberg;2
132640;Brilon, KG (Verb.) ThÅlen-Alme-Hoppecke;BR Arnsberg;Hochsauerlandkreis;Brilon;2
132652;Breckerfeld, GG Ostring;BR Arnsberg;Ennepe-Ruhr-Kreis;Breckerfeld;1
132676;Hagen, GG Volmetal;BR Arnsberg;Stadt Hagen;Hagen;4
132706;Ennepetal, GG BÅttenberg;BR Arnsberg;Ennepe-Ruhr-Kreis;Ennepetal;3
132718;Ennepetal, GG (Verb.) Wassermaus;BR Arnsberg;Ennepe-Ruhr-Kreis;Ennepetal;3
132720;Ennepetal, GG Altenvoerde;BR Arnsberg;Ennepe-Ruhr-Kreis;Ennepetal;3
132731;Ennepetal, GG Voerde;BR Arnsberg;Ennepe-Ruhr-Kreis;Ennepetal;4
132755;Ennepetal, KG Kirchstr.;BR Arnsberg;Ennepe-Ruhr-Kreis;Ennepetal;3
132779;Gevelsberg, GG Pestalozzischule;BR Arnsberg;Ennepe-Ruhr-Kreis;Gevelsberg;4
132780;Gevelsberg, GG Am StrÅckerberg;BR Arnsberg;Ennepe-Ruhr-Kreis;Gevelsberg;4
132792;Gevelsberg, GG Schnellmark;BR Arnsberg;Ennepe-Ruhr-Kreis;Gevelsberg;5
132810;Gevelsberg, GG Silschede;BR Arnsberg;Ennepe-Ruhr-Kreis;Gevelsberg;1
132822;Hattingen, GG Bredenscheid;BR Arnsberg;Ennepe-Ruhr-Kreis;Hattingen;2
132834;Hattingen, GG Oberwinzerfeld;BR Arnsberg;Ennepe-Ruhr-Kreis;Hattingen;4
132860;Hattingen, KG Weiltor St.Franzsikus;BR Arnsberg;Ennepe-Ruhr-Kreis;Hattingen;5
132883;Hattingen, GG Heggerfeld;BR Arnsberg;Ennepe-Ruhr-Kreis;Hattingen;8
132895;Hattingen, GG Bruchfeld;BR Arnsberg;Ennepe-Ruhr-Kreis;Hattingen;4
132901;Hattingen, GG Holthausen;BR Arnsberg;Ennepe-Ruhr-Kreis;Hattingen;4
132937;Hattingen,GG Niederwenigern Nikol.Gro·;BR Arnsberg;Ennepe-Ruhr-Kreis;Hattingen;2
132950;Hattingen, GG Alt-Blankenstein;BR Arnsberg;Ennepe-Ruhr-Kreis;Hattingen;1
132962;Hattingen, GG Erik-Nîlting;BR Arnsberg;Ennepe-Ruhr-Kreis;Hattingen;6
132974;Witten, GG Buchholzer Schule;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;1
132986;Witten, GG Vormholzer Schule;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;4
133000;Witten, GG Herbeder;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;3
133024;Herdecke, GG Hugo Knauer;BR Arnsberg;Ennepe-Ruhr-Kreis;Herdecke;3
133036;Herdecke, GG Schraberg;BR Arnsberg;Ennepe-Ruhr-Kreis;Herdecke;1
133048;Herdecke, GG Robert-Bonnermann-Schule;BR Arnsberg;Ennepe-Ruhr-Kreis;Herdecke;5
133050;Schwelm, GG Nordstadt;BR Arnsberg;Ennepe-Ruhr-Kreis;Schwelm;4
133073;Schwelm, GG Engelbertstr.;BR Arnsberg;Ennepe-Ruhr-Kreis;Schwelm;6
133085;Schwelm, GG LÑndchenweg;BR Arnsberg;Ennepe-Ruhr-Kreis;Schwelm;5
133097;Schwelm, KG St.Marien;BR Arnsberg;Ennepe-Ruhr-Kreis;Schwelm;3
133115;Sprockhîvel, GG Hobeuken;BR Arnsberg;Ennepe-Ruhr-Kreis;Sprockhîvel;1
133127;Sprockhîvel, GG Ha·linghausen;BR Arnsberg;Ennepe-Ruhr-Kreis;Sprockhîvel;3
133139;Sprockhîvel, GG Bîrgersbruch;BR Arnsberg;Ennepe-Ruhr-Kreis;Sprockhîvel;2
133140;Sprockhîvel, GG Gennebreck-Herzkamp;BR Arnsberg;Ennepe-Ruhr-Kreis;Sprockhîvel;1
133152;Wetter, KG St. Rafael;BR Arnsberg;Ennepe-Ruhr-Kreis;Wetter (Ruhr);3
133164;Wetter, GG Bergstr.;BR Arnsberg;Ennepe-Ruhr-Kreis;Wetter (Ruhr);6
133176;Wetter, GG Grundschîttel;BR Arnsberg;Ennepe-Ruhr-Kreis;Wetter (Ruhr);4
133190;Wetter, GG (Verb.) Elbschebach;BR Arnsberg;Ennepe-Ruhr-Kreis;Wetter (Ruhr);2
133206;Wetter, GG Volmarstein;BR Arnsberg;Ennepe-Ruhr-Kreis;Wetter (Ruhr);2
133218;Hagen, GG Heide Hohenlimburg;BR Arnsberg;Stadt Hagen;Hagen;3
133231;Hagen, KG Wesselbach;BR Arnsberg;Stadt Hagen;Hagen;2
133255;Hagen, GG (Verb.) Im Kley;BR Arnsberg;Stadt Hagen;Hagen;7
133267;Iserlohn, GG Saat;BR Arnsberg;MÑrkischen Kreis;Iserlohn;3
133280;Iserlohn, GG BartholomÑusschule;BR Arnsberg;MÑrkischen Kreis;Iserlohn;2
133292;Iserlohn, KG Kilianschule;BR Arnsberg;MÑrkischen Kreis;Iserlohn;5
133309;Menden, KG Josefschule Menden;BR Arnsberg;MÑrkischen Kreis;Menden (Sauerland);4
133322;Menden, GG (Verb.) Albert-Schweitzer;BR Arnsberg;MÑrkischen Kreis;Menden (Sauerland);2
133358;Schwerte, GG Friedrich-Kayser-Schule;BR Arnsberg;Kreis Unna;Schwerte;9
133360;Schwerte, GG Lenningskamp;BR Arnsberg;Kreis Unna;Schwerte;3
133383;Schwerte, GG Heide;BR Arnsberg;Kreis Unna;Schwerte;2
133401;Hagen, GG Berchum/Garenfeld;BR Arnsberg;Stadt Hagen;Hagen;2
133413;Schwerte, EG Ergste;BR Arnsberg;Kreis Unna;Schwerte;2
133437;Hemer, GG Oesetalschule;BR Arnsberg;MÑrkischen Kreis;Hemer;2
133449;Hemer, GG Deilinghofenerschule;BR Arnsberg;MÑrkischen Kreis;Hemer;1
133450;Hemer, GG Brabeckschule;BR Arnsberg;MÑrkischen Kreis;Hemer;1
133462;Hemer, GG Woesteschule;BR Arnsberg;MÑrkischen Kreis;Hemer;4
133474;Hemer, GG Freiherr-vom-Stein;BR Arnsberg;MÑrkischen Kreis;Hemer;6
133486;Hemer, GG Diesterwegschule;BR Arnsberg;MÑrkischen Kreis;Hemer;3
133498;Hemer, GG Wulfertschule;BR Arnsberg;MÑrkischen Kreis;Hemer;5
133504;Hemer, GG Ihmerter;BR Arnsberg;MÑrkischen Kreis;Hemer;2
133516;Menden, GG Nikolaus-Gro·-Schule/Bîsperde;BR Arnsberg;MÑrkischen Kreis;Menden (Sauerland);2
133530;Menden, GG (Verb.) Bischof-von-Ketteler;BR Arnsberg;MÑrkischen Kreis;Menden (Sauerland);4
133565;Menden, KG Josefschule Lendringsen;BR Arnsberg;MÑrkischen Kreis;Menden (Sauerland);4
133590;Iserlohn, GG SÅmmern;BR Arnsberg;MÑrkischen Kreis;Iserlohn;1
133607;Dortmund, GG Eintracht;BR Arnsberg;Stadt Dortmund;Dortmund;3
133619;Dortmund, GG Lichtendorf;BR Arnsberg;Stadt Dortmund;Dortmund;1
133620;Schwerte, GG Villigst;BR Arnsberg;Kreis Unna;Schwerte;1
133644;Schwerte, GG Reichshofschule;BR Arnsberg;Kreis Unna;Schwerte;3
133668;Geseke, KG Alfred-Delp-Schule;BR Arnsberg;Kreis Soest;Geseke;4
133670;Geseke, KG Dr.-Adenauer-Schule;BR Arnsberg;Kreis Soest;Geseke;4
133681;Geseke, KG St.Marienschule;BR Arnsberg;Kreis Soest;Geseke;3
133700;Lippstadt, GG (Verb.) Friedrichschule;BR Arnsberg;Kreis Soest;Lippstadt;5
133711;Lippstadt, GG Hans-Christian-Andersen;BR Arnsberg;Kreis Soest;Lippstadt;3
133723;Lippstadt, GG an der Pappelallee;BR Arnsberg;Kreis Soest;Lippstadt;8
133735;Lippstadt, GG Josefschule;BR Arnsberg;Kreis Soest;Lippstadt;4
133747;Lippstadt, GG Nikolaischule;BR Arnsberg;Kreis Soest;Lippstadt;4
133760;Lippstadt, GG Martin-Schule;BR Arnsberg;Kreis Soest;Lippstadt;4
133772;Lippstadt, GG (Verb.) Lipperode-Lipperbr;BR Arnsberg;Kreis Soest;Lippstadt;3
133784;Anrîchte, KG (Verb.) Pankratiusschule;BR Arnsberg;Kreis Soest;Anrîchte;2
133802;Lippstadt, GG Benninghausen;BR Arnsberg;Kreis Soest;Lippstadt;2
133814;Erwitte, GG Erich KÑstner;BR Arnsberg;Kreis Soest;Erwitte;2
133838;Erwitte, GG Astrid-Lindgren;BR Arnsberg;Kreis Soest;Erwitte;2
